Category,#,Dimension,Kestra + ADF Pipeline (No ApiLoader),Kestra + ApiLoader Host App,Winner,Impact / Notes
,,,,,,
FLOW COMPLEXITY,,,,,,
,1,Kestra flow definition,"~15 lines YAML (trigger ADF + poll for completion)","~10 lines YAML (shell command + exit code check)",Comparable,"Both are simple Kestra flows; the complexity difference lives elsewhere"
,2,Core orchestration logic,"~300-500+ lines ADF pipeline JSON (incomplete — see gaps below)",0 lines — built into the compiled app,ApiLoader,"ADF JSON is verbose, brittle expression language, and still can't express all requirements natively"
,3,Azure Functions required,"2 minimum: (1) carrier JSON parsing, (2) SHA-256 / metadata / redaction","0",ApiLoader,"Each Azure Function is a separate deployment artifact with its own CI/CD, testing, and maintenance"
,4,Linked Services required,"3+: TruckerCloud REST API, ADLS Gen2, Azure Functions","0 (ApiLoader uses ClientSecretCredential directly from config)",ApiLoader,"Linked Services require ARM templates or Terraform, secret rotation config, and connectivity testing"
,5,ADF Datasets required,"3+: REST source, ADLS sink, in-memory JSON passthrough","0",ApiLoader,"Each dataset is a JSON definition that must be version-controlled and deployed"
,6,Total deployment artifacts,"7+: ADF pipeline, 2+ Azure Functions, 3 Linked Services, 3+ Datasets, Key Vault refs, Kestra flow","1: Kestra flow (ApiLoader is a pre-built binary)",ApiLoader,"Massive reduction in deployment surface area and change management overhead"
,7,Lines of config/code to maintain,"800-1200+ (ADF JSON + Azure Function C# + ARM/Terraform + Kestra YAML)","~10 (Kestra YAML only; ApiLoader is a shared compiled asset)",ApiLoader,"Order-of-magnitude difference in maintenance burden"
,,,,,,
AUTHENTICATION & SECURITY,,,,,,
,8,Bearer token acquisition (POST /v4/authenticate),"ADF WebActivity + SetVariable — works but token is in plain-text pipeline variable","Built-in: TruckerCloudAdapter.FetchAuthTokenAsync with dedicated HttpClient call",ApiLoader,"ADF variables are visible in pipeline run monitoring UI — security concern"
,9,Token caching (avoid re-auth per request),"Manual: must store in variable and pass to every subsequent activity","Built-in: _authToken field cached in adapter, reused across all requests in run",ApiLoader,"ADF has no concept of in-memory token cache across activities"
,10,Automatic 401 detection + token refresh,"Manual: IfCondition activity checking status code, then re-auth WebActivity, then retry — must be wired at EVERY API call site","Built-in: RefineFetchOutcome returns RetryImmediately on 401, sets _credentialInvalid flag, next attempt auto-refreshes",ApiLoader,"In ADF, this means duplicating the IfCondition+re-auth pattern at every single WebActivity — enormous boilerplate"
,11,Thread-safe concurrent token refresh,"Not applicable — ADF activities are not concurrent within a single ForEach iteration","Built-in: SemaphoreSlim(1,1) with double-checked locking ensures only one thread refreshes",ApiLoader,"ApiLoader processes requests in parallel (maxDop=8); token refresh is safely serialized"
,12,Secrets management,"Azure Key Vault via Linked Service — requires Key Vault setup, access policies, Linked Service config","Environment variables or config file — simple, works with any secret injection mechanism (K8s secrets, env vars, Key Vault CLI)",Comparable,"ADF's Key Vault integration is mature but adds infrastructure; ApiLoader is simpler but less governed"
,13,Credential redaction in metadata,"Requires Azure Function to implement redaction logic during metadata JSON construction","Built-in: vendor-configurable redact key list (e.g., authorization, userName, password) → '***REDACTED***'",ApiLoader,"Redaction is automatic and consistent across all endpoints for a vendor"
,,,,,,
API INTERACTION,,,,,,
